Cluster,fake_identificacion,Periodo,Region,Zona,Centro,Periodo Admision,Ciclo Academico,Tipo de Programa,Estatus del Curso,Porcentaje de beca,Porcentaje desencuento matricula,Monto descuento automatico,Edad,Sexo,Discapacidad,Porcentaje de discapacidades,Número discapacidades,Metodología de la invest y tec(Bim1),Computación y sociedad(Bim1),Fundamentos de tecnologias(Bim1),Algoritmos y resolución de pro(Bim1),Humanismo universidad y cultu(Bim1),Fundamentos matematicos(Bim1),Metodología de la invest y tec(Bim2),Computación y sociedad(Bim2),Fundamentos de tecnologias(Bim2),Algoritmos y resolución de pro(Bim2),Humanismo universidad y cultu(Bim2),Fundamentos matematicos(Bim2),Metodología de la invest y tec(aaBim1),Computación y sociedad(aaBim1),Fundamentos de tecnologias(aaBim1),Algoritmos y resolución de pro(aaBim1),Humanismo universidad y cultu(aaBim1),Fundamentos matematicos(aaBim1),Metodología de la invest y tec(aaBim2),Computación y sociedad(aaBim2),Fundamentos de tecnologias(aaBim2),Algoritmos y resolución de pro(aaBim2),Humanismo universidad y cultu(aaBim2),Fundamentos matematicos(aaBim2),Metodología de la invest y tec(acdBim1),Computación y sociedad(acdBim1),Fundamentos de tecnologias(acdBim1),Algoritmos y resolucion de pro(acdBim1),Humanismo universidad y cultu(acdBim1),Fundamentos matematicos(acdBim1),Computación y sociedad(acdBim2),Fundamentos de tecnologias(acdBim2),Algoritmos y resolucion de pro(acdBim2),Humanismo universidad y cultu(acdBim2),Fundamentos matematicos(acdBim2),Metodología de la invest y tec(apeBim1),Computación y sociedad(apeBim1),Fundamentos de tecnologias(apeBim2),Algoritmos y resolucion de pro(acdBim2),Humanismo universidad y cultu(apeBim1),Fundamentos matematicos(apeBim1),Computación y sociedad(apeBim2),Algoritmos y resolución de pro(apeBim2),Componente_1,Componente_2,porcentaje_de_beca
Regular,LOHE76474549960567,202162,GUAYAQUIL,GRAN-GYE,GUAYAQUIL,202162,1,CONTINUO,CURSOS CADUCADOS,100,25,0,22,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.79,3.03,1.93,2.5,2.56,2.03,1,0.95,1,0.95,1,0.82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.8,3.5,3.35,1,3.5,1.4,-1,-1,2.5757519239556146,1.4241334358179387,202162
Regular,JWFF65532453351256,202262,SANTO DOMINGO,COSTA-NOR,QUEVEDO,202064,1,NUEVO,CURSOS INSCRITOS,60,20,45.11,43,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.7,3.1,0.8,2.56,0.75,0.58,1.61,0.5,3.02,0,1.9,2.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.25,3.5,0.6,1,2.6,2.8,-1,-1,2.6784798721908865,0.7411676397661895,202064
Critico,UAGF72507341513209,202264,GUAYAQUIL,COSTA-CEN,PORTOVIEJO,202064,1,NUEVO,CURSOS INSCRITOS,0,30,161.92,25,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.76,2.86,1.93,2.13,2.21,2.56,0.5,0.4,0.7,0.6,0.3,0.66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,2.9752913101559773,0.09457208,202064
Regular,TTAD67332457573874,202164,CUENCA,SIERRA-SUR,GUALACEO,202064,3,CONTINUO,CURSOS INSCRITOS,0,20,119.54,22,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.71,3.13,2.4,2.58,2.25,1.67,2.28,1,0.97,2.25,2.44,0.73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.55,1.43,2.9,2.8,3,2.71,-1,-1,2.4536881116184444,1.514948335775602,202064
Regular,ORXY04235373667180,202164,CUENCA,SIERRA-SUR,CUENCA,202064,1,NUEVO,CURSOS INSCRITOS,50,25,0,19,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.2,3.06,2.4,2.5,2.54,2.12,0.5,0.5,0.67,1,0.5,0.92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.43,3.28,2.7,3.5,3.34,3.08,-1,-1,2.625199524896625,1.2088819469269307,202064
Regular,JLQL21611322768891,202264,CUENCA,SIERRA-SUR,CUENCA,202064,1,NUEVO,CURSOS INSCRITOS,10,30,144.42,26,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.93,2.89,2.17,2.2,3.06,1.96,0.05,1,1,0.78,1,0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.8,1.5,2,3.5,3.5,3.06,-1,-1,2.6591287434002377,1.051661102,202064
Regular,WTCY71105517507926,202264,CUENCA,SIERRA-SUR,CUENCA,202062,1,CONTINUO,CURSOS CADUCADOS,10,30,189.24,27,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.7,2.59,1.77,2.38,3.13,1.81,1,0.95,1,0.95,0.95,0.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.5,3.41,3.5,3.38,3.4,3.27,-1,-1,2.514026829450215,1.5372113807651893,202062
Regular,ZJHG38340687411191,202264,QUITO,METROPOLIT,QUITO,202064,1,CONTINUO,CURSOS INSCRITOS,0,100,36.27,23,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.95,3.16,1.96,2.2,2.95,2.23,1.5,0.95,1.75,1.83,0.8,1.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3.5,1.28,0.92,3.5,1.56,-1,-1,2.5805790393675174,1.252997188000841,202064
Regular,RAMH20649419610133,202264,QUITO,SIERRA-CEN,LATACUNGA,202162,1,NUEVO,CURSOS INSCRITOS,0,30,160.48,33,HOMBRE,SI,34,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.51,2.64,1.9,2.06,2.31,2.81,0.95,1,1,0.85,0.95,0.66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.4,3.5,2.3,3.5,1.65,1.72,-1,-1,2.6822992942927586,0.9314287587422427,202162
Regular,QSAA24828617835143,202162,GUAYAQUIL,COSTA-INS,MILAGRO,202062,1,NUEVO,CURSOS INSCRITOS,20,30,124.27,20,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.09,2.94,1.8,2.62,2.81,2.09,0.4,0.7,0.77,0.63,0.65,0.61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.8,1.43,0.6,3.5,2.25,3.27,-1,-1,2.7304493653540463,0.9206667909629052,202062
Regular,ZJFU49846842467786,202162,CUENCA,SIERRA-SUR,MACHALA,202064,1,NUEVO,CURSOS INSCRITOS,10,30,189.24,26,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.18,3.2,2.93,2.69,2.75,2.5,0.85,0.95,1,0.98,1,0.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.1,3.43,3.5,3.5,3.15,1.75,-1,-1,2.563808614267807,1.2549650424367855,202064
Regular,CPJB26340361876248,202264,GUAYAQUIL,GRAN-GYE,GUAYAQUIL - CENTENARIO,202162,1,CONTINUO,CURSOS INSCRITOS,10,100,48.97,20,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.08,2.96,2.05,2.31,2.35,1.87,1.31,0.4,1.58,1.58,1.5,1.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.6,3.5,0.6,0.92,2.1,2.56,-1,-1,2.628601585371709,1.1676281680642262,202162
Regular,MICS10613374142261,202264,GUAYAQUIL,GRAN-GYE,GUAYAQUIL,202062,1,NUEVO,CURSOS INSCRITOS,60,25,0,18,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.56,2.93,1.7,1.1,1.41,1.25,0.5,0.85,0.57,0.25,-1,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.9,1.2,0,0,2.5,0,-1,-1,3.0338026683477173,0.2635456149924509,202062
Regular,IPOE70530602634597,202264,LOJA,SUR,LOJA,202064,2,CONTINUO,CURSOS INSCRITOS,10,100,144.42,21,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.38,2.76,1.58,1.82,2.53,2.6,0.65,0.7,1.97,0.5,2.38,0.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.7,3.5,2.78,3.38,2.9,3.33,-1,-1,2.5134173157003405,1.546211428788946,202064
Regular,YWQP88792086553446,202264,LOJA,SUR,CARIAMANGA,202162,2,CONTINUO,CURSOS CADUCADOS,0,100,54.41,20,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.5,2.83,1.87,2.31,2.53,2.26,1,0.75,0.87,0.6,1,0.57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.05,3.5,3.1,3.5,1.06,3.5,-1,-1,2.6224851500889046,1.331666011435348,202162
Regular,AFCX55986059163901,202264,ESTADOS UNIDOS,NEW YORK,NEW YORK,202064,1,CONTINUO,CURSOS INSCRITOS,20,30,88.93,37,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.24,3,1.9,2.82,2.05,1.63,-1,0.5,0.33,0.5,0.45,0.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.1,3.5,3.5,2.38,3.13,3.14,-1,-1,2.6742317935572264,1.2761988224580363,202064
Regular,JUGV81656585239496,202162,LOJA,SUR,LOJA,202064,1,NUEVO,CURSOS INSCRITOS,20,30,91.92,31,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.91,3.13,2.1,1.99,2.87,1.4,-1,0.5,0.33,0.5,0.5,0.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.75,3.5,3.5,3,2.88,3.28,-1,-1,2.7352877992882734,1.019139701042302,202064
Regular,FWBY02265266051398,202262,LOJA,SUR,LOJA,202064,1,NUEVO,CURSOS INSCRITOS,0,30,159.03,24,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.93,2.33,1.83,2.15,2.81,2.51,0.2,0.85,0.87,0.25,0.75,0.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.5,1.5,0,2.5,2,0,-1,-1,2.864070377349401,0.5799629054398183,202064
Regular,RRKI35558020349034,202264,CUENCA,SIERRA-SUR,MACAS,202064,1,NUEVO,CURSOS INSCRITOS,10,30,0,22,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.46,2.9,2.37,2.31,2.1,2.28,0.4,0.35,0.9,0.53,0.95,0.38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.2,3.5,2,3.38,0.9,3.5,-1,-1,2.719741492782563,0.946707806,202064
Regular,VUOO64047657096158,202162,QUITO,METROPOLIT,QUITO,202064,1,NUEVO,CURSOS INSCRITOS,0,30,0,29,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.58,2.99,2.3,2.78,2.45,1.87,0.45,0.85,0.9,0.83,0.85,0.76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.2,3.5,3.5,3.5,1.48,0.99,-1,-1,2.712615912345407,0.8763857662080033,202064
Regular,BUNI02941696405445,202164,SANTO DOMINGO,COSTA-NOR,SANTO DOMINGO,202064,1,NUEVO,CURSOS INSCRITOS,40,25,34.96,20,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.6,0.75,0.83,1.51,1.91,2.04,-1,0.25,0.33,0.1,0.5,0.17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.33,3.35,2,2.25,2.5,2.61,-1,-1,2.945958918384225,0.5285437780463488,202064
Regular,BGFN08061897027275,202162,QUITO,METROPOLIT,QUITO,202064,2,CONTINUO,CURSOS CADUCADOS,0,30,160.48,34,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.85,3.25,2,2.7,2.4,2.74,0.6,1,0.9,0.93,1,0.74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.5,3.5,3.5,3.5,3.15,3.15,-1,-1,2.499761273454047,1.5660261998277867,202064
Regular,FGKM61281226407767,202164,SANTO DOMINGO,COSTA-NOR,SANTO DOMINGO,202064,1,NUEVO,CURSOS INSCRITOS,60,25,0,22,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4,0.5,0.6,2.29,2.38,1.57,0.2,0.4,0.23,0.05,1,0.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.2,1.5,0,3.5,1.5,1.49,-1,-1,2.975584277463053,0.3718904464089096,202064
Regular,GGAU64847942744668,202264,QUITO,METROPOLIT,QUITO,202064,1,NUEVO,CURSOS INSCRITOS,0,30,0,19,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.11,3.13,1.97,2.75,2.44,2.31,1,1,1,1,1,0.79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.8,3.5,3.5,2.5,3.25,3.33,-1,-1,2.5836943223508175,1.2194486341751645,202064
Regular,YUBO25058827008384,202264,LOJA,SUR,ZAMORA,202064,1,NUEVO,CURSOS INSCRITOS,20,100,0,35,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.48,2.69,1.97,2.11,1.69,0.88,0.3,0.35,0.53,0.2,0.35,0.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.5,3.5,2,2.5,2,0,-1,-1,2.895621243210957,0.5980529038881305,202064
Regular,LPZB66623006699319,202264,QUITO,METROPOLIT,QUITO-CALDERON,202062,1,NUEVO,CURSOS INSCRITOS,0,30,160.48,38,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.88,3.06,2.67,3.16,2.51,2.7,0.1,0.75,0.97,0.38,0.65,0.57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.2,0,0,3.5,0,0,-1,-1,2.865338310288113,0.456749366,202062
Critico,TXPP07653533783289,202264,LOJA,SUR,LOJA,202062,1,NUEVO,CURSOS INSCRITOS,10,30,189.24,20,HOMBRE,NO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.9,0.9,1.64,0.35,0.54,0.05,0.35,0.43,0.25,0.3,0.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.8,0,1.4,1.03,0.7,1.43,-1,-1,3.019566614764922,0.1083637913706754,202062
Incierto,PGFY53665566058284,202264,CUENCA,SIERRA-SUR,CUENCA,202062,3,CONTINUO,CURSOS INSCRITOS,10,100,123.76,34,HOMBRE,NO,0,0,7.08,9.31,-1,-1,8.4,-1,6.65,8.74,-1,-1,8.15,-1,2.19,3.13,2.4,2.47,2.5,2.12,2.45,2.81,0.9,2.6,2.45,0.62,3.5,3.5,-1,-1,2.9,-1,3.3,-1,-1,3.3,-1,1.39,2.68,2.55,3,3,2.58,2.63,-1,0.49572764839657774,1.4521465680393764,202062
Incierto,HCNR16968022665430,202264,QUITO,METROPOLIT,QUITO-VILLAFLORA,202062,3,CONTINUO,CURSOS INSCRITOS,0,20,252.15,29,MUJER,NO,0,0,9,7.56,-1,-1,-1,-1,6.99,6.67,-1,-1,-1,-1,2.65,3.06,2.37,2.48,2.44,1.98,2.44,2.7,0.97,0.88,1,0.58,3.5,1.5,-1,-1,-1,-1,1.5,-1,-1,-1,-1,2.85,3,3.1,3.5,1,3.4,2.47,-1,1.385636532403166,1.5531949272187313,202062
Incierto,JWLO19960362310563,202264,CUENCA,SIERRA-SUR,MACHALA,202062,3,CONTINUO,CURSOS INSCRITOS,18,20,113.86,39,HOMBRE,NO,0,0,-1,9.58,-1,-1,8.78,9.37,-1,9.53,-1,-1,9.03,9.05,-1,3.08,-1,-1,3.08,3.04,-1,3.03,-1,-1,3.13,2.55,-1,3.5,-1,-1,3.3,3.33,3.5,-1,-1,3.5,3.5,-1,3,-1,-1,2.4,3,3,-1,0.6082123312385583,0.13481559369863025,202062
Bueno,YWUD67026735386428,202162,QUITO,METROPOLIT,QUITO-CALDERON,202062,3,CONTINUO,CURSOS INSCRITOS,18,20,106.42,34,HOMBRE,NO,0,0,-1,9.88,-1,9.83,9.24,8.44,-1,9.81,-1,9.38,9.63,9.43,-1,3.38,-1,3.33,2.89,2.52,-1,3.31,-1,3.08,3.13,3.22,-1,3.5,-1,3.5,3.35,2.92,3.5,-1,3.5,3.5,3.21,-1,3,-1,3,3,3,3,2.8,-0.664246577,-0.075731152,202062
Incierto,LOEN31978254782171,202264,QUITO,METROPOLIT,QUITO-VILLAFLORA,202062,1,NUEVO,CURSOS INSCRITOS,10,100,159.39,39,HOMBRE,NO,0,0,5.78,9.81,9.2,6.79,-1,-1,3.88,6.19,3.17,4.53,-1,-1,2.28,3.31,2.92,2.51,-1,-1,1.88,3.19,3.17,1.7,-1,-1,2,3.5,3.28,3.18,-1,-1,0,0,0.43,-1,-1,1.5,-1,3,1.1,-1,-1,-1,2.4,1.1286658686647484,-0.766562948,202062
Bueno,TOLS94512665774741,202262,QUITO,METROPOLIT,QUITO-CARCELEN,202162,2,CONTINUO,CURSOS INSCRITOS,10,20,123.67,39,HOMBRE,NO,0,0,8.39,8.63,9.58,8.37,9.18,8.28,8.5,9.27,9.18,8.48,9.48,8.57,2.19,2.78,3.08,2.48,2.68,1.91,2,3.14,2.83,2.18,2.98,2.24,3.2,3.28,3.5,3.19,3.5,3.41,3.5,3.5,3.5,3.5,3.33,3,2.57,3,2.7,3,2.96,2.63,2.8,-2.035366356,0.029441331508213733,202162
Bueno,RAAN31384803506769,202264,LOJA,SUR,ZAMORA,202162,3,CONTINUO,CURSOS INSCRITOS,8,20,168.47,39,HOMBRE,NO,0,0,8.91,8.94,8.84,9.45,9.31,9.68,8.87,8.37,9.58,9.15,9.69,9.18,2.41,3.04,2.64,3,3.01,3.18,2.44,2.51,3.08,2.75,3.19,2.68,3.5,3.3,3.35,3.45,3.5,3.5,3.43,3.5,3.4,3.5,3.5,3,2.6,2.85,3,2.8,3,2.43,3,-2.195507629,0.12476301117928822,202162
Bueno,FEXR34289863866554,202164,LOJA,SUR,SARAGURO,202162,3,CONTINUO,CURSOS INSCRITOS,40,20,0,39,HOMBRE,NO,0,0,8.66,9.77,9.15,8.86,9.18,9.26,9.05,8.34,8.77,9.32,9.36,9.42,2.36,3.38,3.25,2.67,2.78,3.15,2.74,3.19,3.39,2.92,3.31,3.15,3.3,3.5,2.9,3.19,3.5,3.31,3.5,2.6,3.4,3.45,3.38,3,2.89,3,3,2.9,2.8,1.65,3,-2.137534513,0.27705009546095866,202162
Bueno,XRAW41940114971428,202162,LOJA,SUR,CELICA,202162,3,CONTINUO,CURSOS INSCRITOS,60,20,183.35,39,HOMBRE,NO,0,0,8.93,8.97,8.8,8.72,8.38,8.03,5.85,9.27,8.74,8.12,9.36,8.48,2.43,2.91,2.75,2.67,2.88,2.45,2.01,3.06,2.89,2.25,3.01,2.34,3.5,3.3,3.2,3.05,2.5,2.82,3.28,3.15,3.19,3.35,3.27,3,2.76,2.85,3,3,2.76,2.93,2.68,-1.897640231,0.2083896628697741,202162
Bueno,FJVY23229229817801,202262,LOJA,SUR,LOJA,202162,1,NUEVO,CURSOS INSCRITOS,0,20,114.51,39,HOMBRE,NO,0,0,7.39,9.11,8.55,8.36,9.05,8.71,7.34,7.91,4.99,4.35,9.4,9.52,2.3,2.81,2.8,2.17,2.75,2.56,2.23,3.38,2.39,2.35,3.5,3.22,2.35,3.5,2.9,3.19,3.3,3.15,3.03,1.4,1,3.1,3.3,2.74,2.8,2.85,3,3,3,1.5,1,-1.401458766,0.023095868506402512,202162
Bueno,WCZU51206518544161,202162,GUAYAQUIL,COSTA-CEN,MANTA,202162,1,CONTINUO,CURSOS CADUCADOS,10,20,164.89,39,HOMBRE,NO,0,0,3.3,7.43,6.8,6.72,8.4,7.65,3.3,4,4.33,8.38,5.5,8.5,2.1,3,2.58,2.42,2.5,1.79,1.7,2.5,2.58,2.08,3,2.86,1.2,2,2.3,3.38,3.1,3.15,0,1.75,3.5,1.5,2.77,0,2.43,1.92,0.92,2.8,2.71,1.5,2.8,-0.804257405,-0.088655766,202162
Bueno,QRHS64095427069606,202162,QUITO,SIERRA-CEN,AMBATO,202162,3,CONTINUO,CURSOS CADUCADOS,10,20,123.67,39,HOMBRE,NO,0,0,8.55,9.03,8.72,8.92,9.44,9.28,8.6,9.56,9.32,9.58,9.69,9.93,2.05,2.94,2.22,2.42,2.94,2.78,2.1,3.06,2.97,3.08,3.19,3.43,3.5,3.15,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,2.94,3,3,3,3,3,3,-2.260774612,0.1207182584997197,202162
Bueno,FIPY13476478298492,202162,QUITO,METROPOLIT,QUITO,202162,3,CONTINUO,CURSOS INSCRITOS,8,20,89.85,39,HOMBRE,NO,0,0,8.46,9.7,9.53,9.2,9.35,9.09,8.66,8.98,8.9,9.37,9.4,9.01,2.66,3.38,3.05,3,2.85,2.64,2.68,3.19,3.05,3.18,3.25,2.51,3.1,3.5,3.48,3.4,3.5,3.5,3.15,2.85,3.19,3.15,3.5,2.7,2.82,3,2.8,3,2.95,2.64,3,-2.174832507,0.1988919420854766,202162
Bueno,PYXK86525280072646,202262,CUENCA,SIERRA-SUR,GUALACEO,202162,2,CONTINUO,CURSOS INSCRITOS,0,20,137.41,39,HOMBRE,NO,0,0,8.45,7.62,8.43,8.99,8.31,9.17,8.68,9.34,9.27,8.93,9.78,8.96,2.25,2.73,2.6,3,2.21,2.67,2.73,3.31,3.14,2.43,3.28,2.58,3.2,2,3.05,3.19,3.5,3.5,3.1,3.5,3.5,3.5,3.38,3,2.89,2.78,2.8,2.6,3,2.93,3,-2.046913084,0.10714203716658964,202162
Bueno,HFTT38132461101872,202264,CUENCA,SIERRA-SUR,CUENCA,202162,2,CONTINUO,CURSOS INSCRITOS,10,20,183.15,39,HOMBRE,NO,0,0,8.05,5.8,8.69,8.69,8.36,6.64,6.2,8.32,6.63,6.53,6.45,7.92,2,2.66,2.64,2.39,2.06,1.4,0.75,2.43,0.93,0.87,0.95,2.47,3.5,1.78,3.5,3.5,3.4,2.24,3.5,2.7,3.5,3.5,3.09,2.55,1.36,2.55,2.8,2.9,3,2.39,2.16,-1.305823411,-0.207369505,202162
Critico,FMKF38666790095855,202262,CUENCA,SIERRA-SUR,CUENCA,202162,1,CONTINUO,CURSOS INSCRITOS,10,20,82.45,39,HOMBRE,NO,0,0,4.75,3.13,3.58,1.2,4.7,4.86,0,0,0,0,0,0,0.4,0.6,0.53,0.9,1,0.77,-1,-1,-1,0,-1,-1,3.15,1.05,2,0,0.8,1.75,0,0,0,0,0,1.2,1.48,1.05,0.3,2.9,2.34,-1,0,1.7703583565700909,-0.341615767,202162
Bueno,CEZO89534866229272,202264,CUENCA,SIERRA-SUR,CUENCA,202162,2,CONTINUO,CURSOS INSCRITOS,30,20,0,39,HOMBRE,NO,0,0,8.08,9.32,9.13,9.4,8.79,9.2,7.21,9.83,7.65,6.75,9.75,9.6,2.39,3.25,3.08,2.9,2.69,3.14,2.36,3.5,3.17,2.75,3.25,3.1,3.1,3.25,3.2,3.5,3.1,3.06,3.4,1.7,1,3.5,3.5,2.59,2.82,2.85,3,3,3,2.93,3,-1.951941048,0.312638841,202162
Bueno,RNZS41778877596837,202164,CUENCA,SIERRA-SUR,CUENCA - MONAY,202162,3,CONTINUO,CURSOS INSCRITOS,40,20,0,39,HOMBRE,NO,0,0,8.88,9.09,8.69,9.59,9.64,9.58,8.38,9.96,9.33,9.76,9.56,9.62,2.6,3.21,2.64,3.39,3.14,3.16,2.29,3.5,2.83,3.26,3.06,3.29,3.5,2.9,3.2,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.33,2.78,2.98,2.85,2.7,3,2.92,2.96,3,-2.298094592,0.2116148601396393,202162
Bueno,QNGR93140963113909,202262,CUENCA,SIERRA-SUR,AZOGUES,202162,3,CONTINUO,CURSOS INSCRITOS,10,20,164.89,39,HOMBRE,NO,0,0,8.51,8.28,9,9.12,7.15,7.53,7.3,8.92,8.77,8.43,8.4,7.67,2.16,2.96,2.8,2.82,2.25,2.65,1.85,3.13,2.82,2.63,2.4,2.22,3.5,2.6,3.5,3.4,2.7,2.88,3.43,2.95,3.3,3,2.45,2.85,2.72,2.7,2.9,2.2,2,2.36,2.5,-1.719572309,0.043509118,202162
Bueno,PRWT35109236766127,202264,QUITO,SIERRA-CEN,RIOBAMBA,202162,3,CONTINUO,CURSOS CADUCADOS,0,20,137.41,39,HOMBRE,NO,0,0,8.55,8.81,8.87,8.65,8.93,8.61,7.11,7.85,5.83,9.92,9.21,9.28,2.54,2.91,2.72,2.71,2.63,2.89,2.76,3.1,2.98,3.42,2.71,2.99,3.2,2.9,3.3,3.14,3.5,3.15,2,1.5,3.5,3.5,3.5,2.81,3,2.85,2.8,2.8,2.57,2.75,3,-1.898588352,0.24074618388502866,202162
Regular,LTTF94748495523511,202264,LOJA,SUR,LOJA,202162,1,NUEVO,CURSOS INSCRITOS,50,20,0,39,HOMBRE,NO,0,0,4.39,5.83,5.08,3.42,6.85,5.13,2.45,5.25,3.63,1.7,5.44,2.92,0.8,0.95,0.83,0.93,1,0.82,0.85,2.95,0.63,0.8,2.64,0.67,1.9,2.7,1.4,2.19,3.15,1.31,1.2,1.8,0,1.8,0,1.69,2.18,2.85,0.3,2.7,3,1.1,0.9,0.4131044021149844,-0.296045456,202162
Critico,PYVH79374236274258,202162,CUENCA,SIERRA-SUR,MACHALA,202162,1,NUEVO,CURSOS INSCRITOS,10,20,164.89,39,HOMBRE,NO,0,0,1.7,1.65,3.18,0,0.5,1.12,-1,0,0,0,0,0,0.5,0.45,0.33,-1,0.5,0.22,-1,-1,-1,-1,-1,-1,1.2,0,1.8,0,0,0,0,0,0,0,0,-1,1.2,1.05,-1,-1,0.9,-1,0,2.5477323176980327,-1.12468353,202162
Bueno,RKSU03742704475540,202164,SANTO DOMINGO,COSTA-NOR,ESMERALDAS,202162,4,CONTINUO,CURSOS INSCRITOS,0,20,189.28,39,HOMBRE,NO,0,0,8.16,8.13,8.2,8.78,8.21,8.75,7.55,8.38,9.1,8.67,8.51,8.99,1.96,2.14,2.6,2.53,2.31,2.25,1.65,2.61,2.75,2.58,2.81,2.79,3.2,3.2,2.9,3.45,3.3,3.5,3.1,3.5,3.09,3.1,3.5,3,2.79,2.7,2.8,2.6,3,2.67,3,-1.88449893,-0.002430724,202162
